ID_MODULO,Estimativa_UCP,Estimativa_Horas,Entrega_no_Prazo
01,16.7437,91.89,1
01,41.3325,217.74,0
02,26.025,111.65,1
02,11.4835,49.69,1
01,48.3278,261.53,0
01,49.295,293.86,1
04,23.5032,101.03,1
03,43.7396,186.99,1
02,39.851,171.31,1
01,17.1645,130.8,1
04,15.947,68.55,1
05,59.5514,297.08,1
02,22.1351,98.15,1
04,10.395,44.69,1
05,61.5668,264.66,0
01,3.7973,16.32,1
02,23.3811,100.51,1
04,2.4077,10.35,1
01,25.664,110.32,1
02,39.6039,170.25,1
01,8.3113,135.73,1
05,25.1214,107.99,1
01,57.0634,288.29,1
02,9.804,42.15,1
03,20.2406,87.01,1
05,26.6305,114.48,1
01,15.0453,84.68,1
04,9.4157,40.48,1
03,42.2704,173.66,1
04,15.3824,66.13,1
05,43.9759,189.04,1
02,4.7349,20.35,1
04,35.4713,152.48,1
03,37.3295,160.47,0
05,6.8153,29.3,1
01,12.0159,51.65,0
05,21.0622,90.54,1
01,8.5145,43.6,0
04,47.0685,217.28,1
05,26.9838,116,1
01,26.8078,115.24,1
03,5.6851,94.44,0
02,36.3884,156.43,1
02,4.8065,20.66,1
03,6.3179,117.16,1
04,14.7574,63.44,0
01,50.394,173.64,1
03,6.9571,49.91,1
01,45.2938,214.71,1
04,44.6338,191.87,1
05,64.6212,327.79,1
02,53.9129,266.7,1
03,36.3043,156.06,1
05,17.4482,75.01,1
04,16.2258,69.75,1
05,26.0273,111.89,0
02,8.1363,34.98,1
03,30.1959,129.81,1
04,9.0114,38.74,1
03,5.5682,63.94,1
02,12.8395,55.19,1
01,45.9896,154.71,0
02,11.2611,48.41,1
03,4.4002,18.92,1
04,38.1989,164.21,1
05,56.4599,272.71,1
03,5.4351,53.36,1
04,51.3956,220.25,0
02,13.6361,58.62,0
05,41.1542,176.91,1
04,48.4944,218.47,1
01,7.2325,31.09,1
03,5.9796,65.7,1
02,7.0998,30.52,1
01,15.1255,65.02,1
03,26.3983,113.48,1
04,11.8821,59.92,1
04,26.9869,98.82,0
05,30.4373,130.84,0
05,13.289,48.53,0
02,15.7437,91.89,1
03,46.3325,225.74,0
01,24.025,111.65,1
02,10.1135,49.69,1
03,44.9778,251.53,0
01,29.295,183.86,1
03,23.5032,101.03,1
04,43.7396,206.99,1
05,29.851,161.31,1
05,17.1645,133.8,1
02,15.947,68.55,1
01,66.5514,254.08,0
03,22.1351,98.15,1
04,10.395,44.69,1
05,61.5668,254.66,0
01,3.7973,16.32,1
02,22.3811,100.51,1
04,3.4077,16.35,1
05,25.664,121.32,1
03,39.6039,180.25,1
02,8.3113,135.73,1
01,25.1214,107.99,1
05,57.0634,328.29,1
04,9.804,42.15,1
02,20.2406,91.01,1
03,26.6305,124.48,1
01,15.0453,84.68,1
04,9.4157,45.48,1
03,42.2704,193.66,1
04,15.3824,52.13,0
05,43.9759,198.04,1
02,4.7349,20.35,1
04,35.4713,162.48,1
03,37.3295,140.47,0
05,6.8153,29.3,1
01,12.0159,41.65,0
05,21.0622,90.54,1
01,8.5145,37.6,0
04,47.0685,238.28,1
05,26.9838,118,1
01,26.8078,123.24,1
03,17.6851,94.44,0
02,36.3884,156.43,1
02,4.8065,20.66,1
03,6.3179,117.16,1
04,14.7574,63.44,0
01,50.394,213.64,1
03,6.9571,49.91,1
01,45.2938,214.71,1
04,44.6338,191.87,1
05,64.6212,287.79,0
02,53.9129,246.7,1
03,36.3043,156.06,0
05,17.4482,75.01,1
04,16.2258,67.75,0
05,26.0273,131.89,1
02,8.1363,34.98,1
03,30.1959,129.81,1
04,9.0114,38.74,1
03,5.5682,63.94,1
02,12.8395,55.19,1
01,45.9896,154.71,0
02,11.2611,48.41,1
03,4.4002,18.92,1
04,38.1989,164.21,1
05,56.4599,242.71,0
02,5.4351,53.36,1
04,51.3956,250.25,1
03,13.6361,58.62,0
01,41.1542,186.91,1
04,48.4944,198.47,0
05,7.2325,34.09,1
03,5.9796,45.7,1
05,7.0998,33.52,0
04,15.1255,65.02,1
05,26.3983,113.48,1
01,11.8821,59.92,1
01,22.9869,98.82,0
03,30.4373,130.84,0
03,61.1542,296.91,0
